Year,pH,Conductivity,BOD,COD,DO,Ammonia,Total Dissolved Solids,Total Suspended Solids,Total Hardness,Fluoride,Boron,Chloride,Sulphate,Calcium,Magnesium,Nickel,Copper,Chromium,Zinc,Lead,Iron,Total Coliform MPN/100ml,Faecal Coliform MPN/100ml,Nitrate-N,TKN,Total Fixed Solids,Turbidity,Total Alkalinity,P- Alkalinity,Phosphate,Sodium,Potassium
2022,8.19,904,2.4,12.0,6.4,0,530,0,424,0.23,0,468,40.22,120.8,29.646,0.0,0.0,0,0.0,0.0,0.0,0,0,0.38,0,0,0.0,64,0,0.08,8,0.2
2022,7.67,1609,0.0,8.0,0,0,876,0,328,0.06,0,18,16.84,92,23.814,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,48,0,0.0,3.2,0.8
2023,7.65,1496,0.0,0.0,0,0,814,0,512,0.42,0,12,14.32,144,36.936,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,152,0.0,0,0,0.0,2,0.4
2018,7.31,1016,0.0,46.4,0,0,610,0,438,0.0,0,128,0.0,116,35.964,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2019,7.36,1173,0.0,34.4,0,0,710,0,346,0.0,0,78,0.0,106.4,19.44,0.0,0.0,0,0.0,0.0,0.072,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2019,8.09,547,0.0,12.8,0,0,340,0,386,0.07,0,124,0.0,86.4,41.31,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,8.04,1509,0.0,0.0,0,0,0,414,0,0.07,0,114,0.0,115.2,30.618,0.0,0.0,0,0.043,0.0,0.023,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,7.35,1275,0.0,0.0,0,0,704,0,382,0.61,0,12,0.0,107.2,27.702,0.0,0.0,0,0.07,0.008,0.0,120,0,0.81,0,348,0.0,126,0,0,143,1.6
2021,8.26,1291,1.4,8.0,0,0,710,0,374,0.66,0,138,69.99,104.8,27.216,0.0,0.0,0,0.0,0.0,0.0,20,0,0.0,0,232,0.0,74,0,0.0,10,0.0
2022,7.88,1450,2.6,16.0,6.4,0,852,0,342,0.28,0,282,56.0,97.6,23.814,0.0,0.0,0,0.0,0.0,0.0,0,0,0.85,0,0,0.0,92,0,0.04,12,0.2
2022,7.73,1236,0.0,12.0,0,0,734,0,286,0.12,0,22,18.16,80.8,20.412,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,54,0,0.0,2,0.4
2023,7.19,1259,0.0,0.0,0,0,684,0,464,0.72,0,12,15.48,130.4,33.534,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,126,0.0,0,0,0.0,2.4,0.5
2018,7.85,840,0.0,22.8,0,0,510,0,248,0.0,0,30,0.0,69.6,17.982,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2019,7.27,1135,0.0,30.4,0,0,690,0,420,0.0,0,104,0.0,124,26.73,0.0,0.0,0,0.0,0.0,0.008,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2019,8.28,475,0.0,17.2,0,0,294,0,230,0.16,0,54,0.0,57.6,20.898,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,8.23,1424,0.0,0.0,0,0,0,0,272,0.16,0,62,0.0,76,19.926,0.0,0.0,0,0.349,0.0,0.33,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,7.69,1135,0.0,0.0,0,0,622,0,280,0.52,0,16,0.0,78.4,20.412,0.0,0.0,0,0.67,0.008,0.0,170,0,1.28,0,298,0.0,120,0,0,198,3.2
2021,8.46,1156,1.5,12.0,0,0,628,0,230,0.74,0,64,65.43,64.8,16.524,0.0,0.0,0,0.0,0.0,0.0,30,0,0.0,0,204,0.0,96,0,0.0,8,0.0
2022,8.12,1334,1.8,12.0,6.8,0,780,0,278,0.22,0,246,46.59,79.2,19.44,0.0,0.0,0,0.0,0.0,0.0,0,0,0.88,0,0,0.0,82,0,0.03,14,0.2
2022,7.8,1250,0.0,8.0,0,0,744,0,302,0.18,0,20,24.68,84.8,21.87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,52,0,0.0,2.2,0.5
2019,8.05,457,0.0,14.4,0,0,284,0,394,0.12,0,126,0.0,84,44.712,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,7.78,1336,0.0,0.0,0,0,0,0,446,0.09,0,120,0.0,124,33.048,0.0,0.0,0,0.349,0.0,0.103,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,7.88,1174,0.0,0.0,0,0,652,0,394,0.28,0,8,0.0,110.4,28.674,0.0,0.0,0,0.02,0.007,0.0,170,0,0.69,0,302,0.0,128,0,0,101,1.8
2021,8.26,1160,0.0,8.0,0,0,630,0,432,0.68,0,130,67.28,121.6,31.104,0.0,0.0,0,0.0,0.0,0.0,10,0,0.0,0,208,0.0,80,0,0.0,18,1.7
2022,7.82,1308,2.8,16.0,6.5,0,768,0,498,0.19,0,642,42.97,142.4,34.506,0.0,0.0,0,0.0,0.0,0.0,0,0,0.22,0,0,0.0,38,0,0.03,12,0.4
2022,7.67,1222,0.0,0.0,0,0,726,0,298,0.12,0,16,18.16,84,21.384,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,44,0,0.0,4.2,1.2
2023,7.13,1183,0.0,0.0,0,0,642,0,404,0.66,0,14,15.3,113.6,29.16,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,104,0.0,0,0,0.0,3,0.6
2019,8.43,466,0.0,15.2,0,0,288,0,252,0.09,0,184,0.0,59.2,25.272,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,8.0,1422,0.0,0.0,0,0,0,0,534,0.18,0,210,0.0,148,37.908,0.0,0.0,0,0.027,0.0,0.079,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,7.79,1071,0.0,0.0,0,0,0,566,234,0.48,0,12,0.0,64.8,17.496,0.0,0.0,0,0.07,0.006,0.0,150,0,1.57,0,288,0.0,116,0,0,63,1.6
2021,8.48,1337,1.2,8.0,0,0,726,0,580,0.78,0,266,65.3,163.2,41.796,0.0,0.0,0,0.0,0.0,0.0,0,0,0.11,0,0,0.0,54,0,0.04,0,0.0
0,7.92,1546,0.0,0.0,0,0,910,0,648,0.26,0,672,49.73,184,45.684,0.0,0.0,0,0.0,0.0,0.0,0,0,0.73,0,0,0.0,72,0,0.004,16,0.3
2022,7.57,1527,0.0,0.0,0,0,908,0,320,0.17,0,24,20.24,89.6,23.328,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,62,0,0.0,2.6,0.3
2019,7.32,328,0.0,15.6,0,0,200,0,524,0.05,0,122,0.0,114.4,57.834,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
